S,LIBRO,Partida,NOMBRES ,APELLIDOS,PARROQUIA DE BAUTIZO,EDAD,PADRE ,MADRE,P/M,PADRINO,MADRINA,DIA,MES,AÑO
F,2,87335,ANA,CRUZ,NUESTRA SEÑORA DE GUADALUPE,4,FERNANDO FLORES,VERONICA PEREZ,P,VICTOR MAMANI,SANDRA FLORES,29,10,2021
F,3,82942,JUAN,PEREZ,SAN CLEMENTE - POTOSI,25,OSCAR QUISPE,LAURA RAMIREZ,P,EDUARDO CRUZ,SANDRA CRUZ,3,1,2000
F,3,87818,JUAN,MAMANI,SAN PABLO,18,JORGE FLORES,CARMEN QUISPE,M,VICTOR RAMIREZ,GLORIA RAMIREZ,23,7,2007
F,3,87508,ROSA,FLORES,SAN CLEMENTE - POTOSI,20,JORGE MAMANI,VERONICA RAMIREZ,P,EDUARDO RAMIREZ,SANDRA FLORES,27,7,2005
F,2,85519,PEDRO,GUTIERREZ,SAN PIO X,11,JORGE FLORES,SOFIA QUISPE,P,EDUARDO RAMIREZ,MARTHA RAMIREZ,22,1,2014
M,2,88387,ELENA,PEREZ,SAN JUAN BOSCO - LA PAZ,12,RICARDO QUISPE,VERONICA MAMANI,P/M,EDUARDO RAMIREZ,PAOLA RAMIREZ,20,8,2013
M,2,88559,LUIS,MENDOZA,NUESTRA SEÑORA DE FATIMA - HUANUNI,12,JORGE QUISPE,TERESA QUISPE,P/M,RAUL CRUZ,SANDRA MAMANI,9,9,2013
F,3,80187,JUAN,PEREZ,SAN SEBASTIAN DE ZEPITA,16,OSCAR QUISPE,CARMEN RAMIREZ,P/M,EDUARDO MAMANI,MARTHA RAMIREZ,9,3,2009
F,2,89894,MARTA,MAMANI,SAN ANDRES DE CARACOLLO,18,RICARDO QUISPE,CARMEN MAMANI,P,VICTOR CRUZ,PAOLA RAMIREZ,14,12,2007
M,2,88222,JOSE,QUISPE,NUESTRA SEÑORA DE FATIMA - HUANUNI,3,OSCAR MAMANI,CARMEN MAMANI,P,RAUL RAMIREZ,MARTHA FLORES,3,8,2022
M,2,86985,CARLOS,PEREZ,"SEÑOR DE LA PACIENCIA ""LA ROTONDA""",33,RICARDO QUISPE,LAURA RAMIREZ,P/M,ANTONIO RAMIREZ,SANDRA CRUZ,12,11,1992
M,3,84617,MARTA,MAMANI,SAN PABLO,30,FERNANDO MAMANI,LAURA MAMANI,M,VICTOR RAMIREZ,SANDRA CRUZ,1,10,1995
F,3,80024,LUIS,GUTIERREZ,SAN JUAN BOSCO - LA PAZ,18,FERNANDO QUISPE,VERONICA RAMIREZ,M,ANTONIO MAMANI,SANDRA CRUZ,3,12,2007
M,3,87436,MARIA,GUTIERREZ,SAN ANDRES DE CARACOLLO,4,OSCAR FLORES,CARMEN RAMIREZ,M,VICTOR CRUZ,MARTHA RAMIREZ,25,7,2021
M,3,81831,MARIA,CRUZ,NUESTRA SEÑORA DE COPACABANA - EUCALIPTUS,22,FERNANDO QUISPE,TERESA MAMANI,M,EDUARDO FLORES,MARTHA CRUZ,18,7,2003
F,3,86266,MARTA,QUISPE,NUESTRA SEÑORA DE COPACABANA - EUCALIPTUS,3,RICARDO MAMANI,LAURA PEREZ,P,ANTONIO CRUZ,SANDRA CRUZ,17,9,2022
F,2,80263,JUAN,FLORES,NUESTRA SEÑORA DE GUADALUPE,13,FERNANDO MAMANI,CARMEN MAMANI,P/M,RAUL RAMIREZ,SANDRA CRUZ,4,1,2012
F,2,89442,ROSA,FLORES,SAN CLEMENTE - POTOSI,3,MIGUEL FLORES,SOFIA QUISPE,M,ANTONIO FLORES,MARTHA CRUZ,16,9,2022
F,3,87478,MARIA,GUTIERREZ,"NUESTRA SEÑORA DE LA ASUNCION ""LA CATEDRAL""",23,OSCAR FLORES,VERONICA MAMANI,P,VICTOR RAMIREZ,GLORIA RAMIREZ,4,10,2002
M,3,83844,JUAN,QUISPE,SAN JUAN BAUTISTA DE POCOATA,26,RICARDO CRUZ,CARMEN PEREZ,M,EDUARDO FLORES,PAOLA MAMANI,17,11,1999
F,2,81958,ELENA,FLORES,SAN JUAN BOSCO - LA PAZ,5,OSCAR QUISPE,VERONICA QUISPE,P,EDUARDO FLORES,MARTHA FLORES,13,8,2020
F,2,83561,CARLOS,PEREZ,SAN PABLO,11,OSCAR QUISPE,VERONICA QUISPE,M,VICTOR RAMIREZ,PAOLA MAMANI,13,5,2014
M,3,80847,ROSA,MENDOZA,"SEÑOR DE LA PACIENCIA ""LA ROTONDA""",23,JORGE CRUZ,TERESA MAMANI,M,EDUARDO RAMIREZ,MARTHA MAMANI,7,8,2002
M,3,86810,MARIA,QUISPE,VIRGEN DE LA ASUNCION - SANTUARIO DE QUILLACAS,2,JORGE CRUZ,VERONICA RAMIREZ,M,VICTOR FLORES,MARTHA RAMIREZ,12,4,2023
F,2,86808,ELENA,MAMANI,SAN PEDRO APOSTOL,35,FERNANDO CRUZ,CARMEN RAMIREZ,P/M,ANTONIO CRUZ,PAOLA MAMANI,1,5,1990
M,2,89354,MARIA,QUISPE,SAN PEDRO APOSTOL,10,RICARDO FLORES,LAURA PEREZ,M,ANTONIO FLORES,PAOLA MAMANI,6,11,2015
F,3,87342,PEDRO,CRUZ,SAN JUAN BOSCO - LA PAZ,24,MIGUEL QUISPE,TERESA RAMIREZ,M,RAUL CRUZ,SANDRA FLORES,14,6,2001
M,3,85268,ANA,QUISPE,SANTIAGO APOSTOL DE HUACHACALLA,33,JORGE FLORES,VERONICA RAMIREZ,P,RAUL CRUZ,GLORIA CRUZ,29,9,1992
M,2,82900,PEDRO,FLORES,SANTO DOMINGO,0,OSCAR CRUZ,VERONICA RAMIREZ,P/M,RAUL FLORES,GLORIA MAMANI,7,8,2025
F,3,81322,PEDRO,PEREZ,SAN JUAN BOSCO - LA PAZ,23,RICARDO CRUZ,VERONICA QUISPE,P,EDUARDO CRUZ,MARTHA CRUZ,12,6,2002
F,2,88662,ANA,CRUZ,SANTO DOMINGO,23,JORGE CRUZ,CARMEN PEREZ,P,ANTONIO FLORES,PAOLA MAMANI,21,11,2002
M,3,89641,CARLOS,MENDOZA,INMACULADA CONCEPCION DE UYUNI,5,OSCAR QUISPE,CARMEN PEREZ,P,RAUL MAMANI,GLORIA RAMIREZ,19,11,2020
F,2,85586,MARIA,MENDOZA,NUESTRA SEÑORA DE GUADALUPE,18,JORGE FLORES,CARMEN QUISPE,P,VICTOR FLORES,GLORIA CRUZ,16,7,2007
M,3,81766,PEDRO,CRUZ,NUESTRA SEÑORA DE FATIMA - HUANUNI,27,JORGE QUISPE,VERONICA PEREZ,P/M,RAUL RAMIREZ,PAOLA CRUZ,26,10,1998
F,3,85694,ANA,FLORES,GRAN PODER DE PAZÑA,7,FERNANDO FLORES,VERONICA MAMANI,P/M,ANTONIO CRUZ,MARTHA MAMANI,25,5,2018
M,2,88796,PEDRO,PEREZ,INMACULADA CONCEPCION DE UYUNI,12,JORGE QUISPE,VERONICA PEREZ,M,VICTOR MAMANI,GLORIA RAMIREZ,29,11,2013
F,3,81100,MARIA,QUISPE,INMACULADA CONCEPCION DE UYUNI,3,FERNANDO QUISPE,VERONICA MAMANI,P/M,ANTONIO RAMIREZ,SANDRA RAMIREZ,22,11,2022
M,2,81278,ANA,FLORES,"NUESTRA SEÑORA DE LA ASUNCION ""LA CATEDRAL""",32,RICARDO QUISPE,TERESA MAMANI,P,EDUARDO FLORES,GLORIA RAMIREZ,21,9,1993
M,3,85677,LUIS,MENDOZA,INMACULADA CONCEPCION DE UYUNI,0,OSCAR QUISPE,TERESA RAMIREZ,P,ANTONIO CRUZ,PAOLA FLORES,23,2,2025
M,2,85361,ANA,MAMANI,INMACULADA CONCEPCION DE UYUNI,19,JORGE FLORES,VERONICA QUISPE,P/M,EDUARDO MAMANI,MARTHA CRUZ,1,6,2006
M,2,85356,JOSE,MENDOZA,SAN MARTIN PORRES,14,JORGE CRUZ,TERESA QUISPE,M,ANTONIO MAMANI,GLORIA MAMANI,1,10,2011
F,3,84207,ELENA,QUISPE,SANTO DOMINGO,9,FERNANDO QUISPE,VERONICA MAMANI,M,VICTOR FLORES,GLORIA RAMIREZ,23,4,2016
F,3,84038,ROSA,RAMIREZ,SAN PABLO,4,FERNANDO MAMANI,VERONICA PEREZ,M,ANTONIO RAMIREZ,MARTHA RAMIREZ,24,12,2021
M,2,80710,MARTA,GUTIERREZ,SAN PEDRO APOSTOL,32,RICARDO MAMANI,CARMEN PEREZ,M,VICTOR CRUZ,MARTHA FLORES,3,1,1993
M,2,86034,PEDRO,FLORES,SANTO DOMINGO,22,FERNANDO CRUZ,VERONICA RAMIREZ,M,VICTOR CRUZ,PAOLA FLORES,2,3,2003
